category_code_raw,item_count,sample_food_1,sample_food_2,sample_food_3,sample_food_4,sample_food_5,category_name_to_fill,verified_by,verified_at
11,91,大黄米(黍),大麦(元麦),稻谷(早籼),稻米(大米),"稻米(粳,特级)",,,
21,77,扁豆,扁豆(白),蚕豆(去皮),蚕豆(带皮),臭干,,,
22,20,扁豆(鲜),蚕豆(鲜),刀豆,豆角,豆角(白),,,
31,93,白菜(脱水),白菜(大白菜),白菜苔(菜苔菜心),菠菜(赤根菜),菠菜(脱水),,,
32,33,白瓜,白金瓜,白兰瓜,"菜瓜(生瓜,白瓜)",冬瓜,,,
33,49,百合,百合(干),百合(脱水),"荸荠(马蹄,地栗)",慈菇(乌芋白地果),,,
34,32,草菇(大黑头细花草),大红菇(草质红菇),地衣(水浸),"冬菇(干,毛柄金线菌",发菜,,,
41,155,"芭蕉(甘蕉,板蕉,牙","菠萝(凤梨,地菠萝)",菠萝蜜肉,菠萝蜜子,草莓,,,
42,30,白果,"白果(干,银杏)","核桃(干,胡桃)",核桃(鲜),"花生(生,落花生,长",,,
51,137,肠(茶肠),肠(大腊肠),肠(大肉肠),肠(蛋清肠),肠(儿童肠),,,
52,60,鹌鹑,扒鸡,斑鸠肉(麒麟鸟),北京烤鸭,鹅,,,
53,35,"白脱(食用,牛油黄油",冰淇淋粉,果味奶,黄油,黄油渣,,,
54,20,鹌鹑蛋,鹌鹑蛋(五香罐头),鹅蛋,鹅蛋白,鹅蛋黄,,,
61,66,白姑鱼(白米子鱼),"鲅鱼(马鲛鱼,燕鲅鱼","鲅鱼(咸,咸马鲛)",八爪鱼(八角鱼),"鳊鱼(鲂鱼,武昌鱼)",,,
62,53,鲍鱼(杂色鲍),鲍鱼(干),"蛏干(蛏子缢,蛏青子",蛏子,淡菜(干),,,
63,24,螯虾,白米虾(水虾米),斑节对虾(草虾),"长毛对虾(大虾,白露",刺姑(红大虾),,,
71,104,菠萝豆,蚕豆(烤),"蚕豆(炸,开花豆)",炒肝,茶汤,,,
81,21,菜籽油,茶油,大麻油,豆油,花生油,,,
82,32,醋,豆瓣酱(辣油豆瓣酱),豆瓣酱,豆豉(五香),黄酱(大酱),,,
83,22,白砂糖,白糖(绵白糖),冰糖,彩球糖,蜂蜜,,,
84,35,榨菜,八宝菜(酱),菜干(芥菜),大头菜(酱),"大头菜(桂花,佛手疙",,,
85,34,宝宝福,冰川可乐,冰棍,冰淇淋,冰砖,,,
86,61,碧绿酒(41.0度),崇明老白酒,二锅头(58度),甘州大曲(52.3度),汉口小麦酒(40.0度),,,
