seq,name_raw,name_base,name_note,edible_part_percent,energy_kcal,water_g,protein_g,fat_g,dietary_fiber_g,carbohydrate_g,vitamin_a_ugRAE,vitamin_b1_mg,vitamin_b2_mg,niacin_mgNE,vitamin_e_mg,sodium_mg,calcium_mg,iron_mg,category_code_raw,vitamin_c_mg,cholesterol_mg,category_name_draft,data_source,data_version_hint,pdf_page_left,pdf_page_right,quality_flags
1,大黄米(黍),大黄米,黍,100.0,349.0,11.3,13.6,2.7,3.5,67.6,0.0,0.3,0.09,1.4,1.79,1.7,30.0,5.7,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
2,大麦(元麦),大麦,元麦,100.0,307.0,13.1,10.2,1.4,9.9,63.4,0.0,0.14,0.05,5.0,0.25,1.6,13.0,5.1,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
3,稻谷(早籼),稻谷,早籼,64.0,359.0,10.2,9.9,2.2,1.4,74.8,0.0,0.14,0.05,5.0,0.25,1.6,13.0,5.1,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
4,稻米(大米),稻米,大米,100.0,346.0,13.3,7.4,0.8,0.7,77.2,0.0,0.11,0.05,1.9,0.46,3.8,13.0,2.3,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
5,"稻米(粳,特级)",稻米,"粳,特级",100.0,334.0,16.2,7.3,0.4,0.4,75.3,0.0,0.08,0.04,1.1,0.76,6.2,24.0,0.9,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
6,"稻米(粳,标一)",稻米,"粳,标一",100.0,343.0,13.7,7.7,0.6,0.6,76.8,0.0,0.16,0.08,1.3,1.01,2.4,11.0,1.1,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
7,"稻米(粳,标二)",稻米,"粳,标二",100.0,348.0,13.2,8.0,0.6,0.0,77.7,0.0,0.22,0.05,2.6,0.53,0.9,3.0,0.4,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
8,"稻米(粳,标三)",稻米,"粳,标三",100.0,345.0,13.9,7.2,0.8,0.4,77.2,0.0,0.33,0.03,3.6,0.38,1.3,5.0,0.7,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
9,"稻米(粳,标四)",稻米,"粳,标四",100.0,346.0,13.1,7.5,0.7,0.7,77.4,0.0,0.14,0.05,5.2,0.39,1.6,4.0,0.7,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
10,"稻米(早籼,特等)",稻米,"早籼,特等",100.0,346.0,12.9,9.1,0.6,0.7,76.0,0.0,0.13,0.03,1.6,0.0,1.3,6.0,0.9,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
11,"稻米(早籼,标一)",稻米,"早籼,标一",100.0,351.0,12.3,8.8,1.0,0.4,76.8,0.0,0.16,0.05,2.0,0.0,1.9,10.0,1.2,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
12,"稻米(早籼,标二)",稻米,"早籼,标二",100.0,345.0,13.7,9.5,1.0,0.5,74.6,0.0,0.2,0.09,3.0,0.0,0.8,6.0,1.0,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
13,"稻米(晚籼,特)",稻米,"晚籼,特",100.0,342.0,14.0,8.1,0.3,0.2,76.7,0.0,0.09,0.1,1.5,0.0,0.8,6.0,0.7,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
14,"稻米(晚籼,标一)",稻米,"晚籼,标一",100.0,345.0,13.5,7.9,0.7,0.5,76.8,0.0,0.17,0.05,1.7,0.22,1.5,9.0,1.2,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
15,"稻米(晚籼,标二)",稻米,"晚籼,标二",100.0,343.0,14.2,8.6,0.8,0.4,75.3,0.0,0.18,0.06,2.6,0.0,0.9,6.0,2.8,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
16,稻米(籼),稻米,籼,100.0,347.0,12.6,7.9,0.6,0.8,77.5,0.0,0.09,0.04,1.4,0.54,1.7,12.0,1.6,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
17,稻米(优标),稻米,优标,100.0,349.0,12.8,8.3,1.0,0.5,76.8,0.0,0.13,0.02,2.6,0.0,1.2,8.0,0.5,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
18,"稻米(籼,标一)",稻米,"籼,标一",100.0,346.0,13.0,7.7,0.7,0.6,77.3,0.0,0.15,0.06,2.1,0.43,2.7,7.0,1.3,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
19,稻谷(红),稻谷,红,64.0,344.0,13.4,7.0,2.0,2.0,74.4,0.0,0.15,0.03,5.1,0.19,22.0,0.0,5.5,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
20,稻米(香大米),稻米,香大米,100.0,346.0,12.9,12.7,0.9,0.6,71.8,0.0,0.0,0.08,2.6,0.7,21.5,8.0,5.1,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
21,方便面,方便面,,100.0,472.0,3.6,9.5,21.1,0.7,60.9,0.0,0.12,0.06,0.9,2.28,1144.0,25.0,4.1,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
22,麸皮,麸皮,,100.0,220.0,14.5,15.8,4.0,31.3,30.1,20.0,0.3,0.3,12.5,4.47,12.2,206.0,9.9,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
23,高粱米,高粱米,,100.0,351.0,10.3,10.4,3.1,4.3,70.4,0.0,0.29,0.1,1.6,1.88,6.3,22.0,6.3,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
24,挂面(赖氨酸),挂面,赖氨酸,100.0,347.0,11.9,11.2,0.5,0.2,74.5,0.0,0.18,0.03,2.5,0.0,292.8,26.0,2.3,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
25,挂面(标准粉),挂面,标准粉,100.0,344.0,12.4,10.1,0.7,1.6,74.4,0.0,0.19,0.04,2.5,1.11,15.0,14.0,3.5,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
26,挂面(精白粉),挂面,精白粉,100.0,347.0,12.7,9.6,0.6,0.3,75.7,0.0,0.2,0.04,2.4,0.88,110.6,21.0,3.2,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
27,谷子(龙谷),谷子,龙谷,100.0,383.0,0.0,10.9,0.0,3.1,84.8,0.0,0.42,0.17,0.6,3.3,0.0,0.0,0.0,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
28,黑米(稻米(紫)),黑米(稻米(紫)),,100.0,333.0,14.3,9.4,2.5,3.9,68.3,0.0,0.33,0.13,7.9,0.22,7.1,12.0,1.6,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
29,花卷,花卷,,100.0,217.0,45.7,6.4,1.0,0.0,45.6,0.0,0.02,0.02,1.1,0.0,95.0,19.0,0.4,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
30,黄米,黄米,,100.0,342.0,11.1,9.7,1.5,4.4,72.5,0.0,0.09,0.13,1.3,4.61,3.3,0.0,0.0,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
31,煎饼,煎饼,,100.0,333.0,6.8,7.6,0.7,9.1,74.7,0.0,0.1,0.04,0.2,0.0,85.5,9.0,7.0,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
32,烤麸,烤麸,,100.0,121.0,68.6,20.4,0.3,0.2,9.1,0.0,0.04,0.05,1.2,0.42,230.0,30.0,2.7,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
33,苦荞麦粉,苦荞麦粉,,100.0,304.0,19.3,9.7,2.7,5.8,60.2,0.0,0.32,0.21,1.5,1.73,2.3,39.0,4.4,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
34,烙饼(标准粉),烙饼,标准粉,100.0,255.0,36.4,7.5,2.3,1.9,51.0,0.0,0.02,0.04,0.0,1.03,149.3,20.0,2.4,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
35,"馒头(蒸,标粉)",馒头,"蒸,标粉",100.0,233.0,40.5,7.8,1.0,1.5,48.3,0.0,0.05,0.07,0.0,0.86,165.2,18.0,1.9,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
36,"馒头(蒸,富强粉)",馒头,"蒸,富强粉",100.0,208.0,47.3,6.2,1.2,1.0,43.2,0.0,0.02,0.02,0.0,0.09,165.0,58.0,1.7,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
37,面筋(水)(水面筋),面筋(水)(水面筋),,100.0,140.0,63.5,23.5,0.1,0.9,11.4,0.0,0.1,0.07,1.1,0.65,15.0,76.0,4.2,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
38,面筋(油)(油面筋),面筋(油)(油面筋),,100.0,490.0,7.1,26.9,25.1,1.3,39.1,0.0,0.03,0.05,2.2,7.18,29.5,29.0,2.5,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
39,面条(富强粉)(切面,面条(富强粉)(切面,,,285.0,29.2,9.3,1.1,0.4,59.5,0.0,0.18,0.04,2.2,0.0,1.5,24.0,2.0,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
40,面条(干),面条,干,100.0,355.0,10.5,11.0,0.1,0.2,77.5,0.0,0.28,0.05,2.7,0.0,60.9,8.0,9.6,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
41,"面条(煮,富强粉)",面条,"煮,富强粉",100.0,109.0,72.6,2.7,0.2,0.1,24.2,0.0,0.0,0.01,1.8,0.0,26.9,4.0,0.5,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
42,面条(虾蓉面),面条,虾蓉面,100.0,429.0,6.1,8.5,15.1,3.6,64.7,0.0,0.0,0.01,2.8,1.22,304.2,17.0,2.0,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
43,面条(标准粉)(切面,面条(标准粉)(切面,,,280.0,29.7,8.5,1.6,1.5,58.0,0.0,0.35,0.1,3.1,0.47,3.4,13.0,2.6,11,0.0,0.0,,PDF:china_food_composition_docsqq.pdf (推断: 1991 版抄录),1991_v0_unverified,1,24,category_code_unmapped:11
